A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,6,1612825490789,"{""phase"": ""TEST"", ""folder"": ""16"", ""object1"": ""dragon"", ""object2"": ""star_smooth"", ""response"": ""star_smooth"", ""hit"": false, ""rt"": 9870}"
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,7,1612825496106,"{""phase"": ""TEST"", ""folder"": ""02"", ""object1"": ""dragon"", ""object2"": ""lucy"", ""response"": ""lucy"", ""hit"": false, ""rt"": 5315}"
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,8,1612825546623,"{""phase"": ""TEST"", ""folder"": ""05"", ""object1"": ""bunny"", ""object2"": ""bust"", ""response"": ""bust"", ""hit"": false, ""rt"": 50516}"
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,9,1612825555153,"{""phase"": ""TEST"", ""folder"": ""11"", ""object1"": ""bun"", ""object2"": ""bust"", ""response"": ""bun"", ""hit"": false, ""rt"": 8528}"
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,10,1612825557370,"{""phase"": ""TEST"", ""folder"": ""06"", ""object1"": ""bun"", ""object2"": ""lucy"", ""response"": ""lucy"", ""hit"": false, ""rt"": 2214}"
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,11,1612825559922,"{""phase"": ""TEST"", ""folder"": ""01"", ""object1"": ""cube"", ""object2"": ""dragon"", ""response"": ""dragon"", ""hit"": false, ""rt"": 2548}"
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,12,1612825561883,"{""phase"": ""TEST"", ""folder"": ""02"", ""object1"": ""buddha"", ""object2"": ""cube"", ""response"": ""buddha"", ""hit"": false, ""rt"": 1958}"
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,13,1612825561886,"{""phase"": ""postquestionnaire"", ""status"": ""begin""}"
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,14,1612825587837,"{""phase"": ""postquestionnaire"", ""status"": ""submit""}"
A3N40Z29QX64UJ:3P4MQ7TPP2SXG8SQL3WCADS49Y6BB3,0,1612820480652,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
