A3IRHO9RKEV0L7:36NEMU28XKTLN2UY7JIHB7GJVYSMWJ,initialized,0,,1612803722948
A3IRHO9RKEV0L7:36NEMU28XKTLN2UY7JIHB7GJVYSMWJ,window_resize,0,"[1024, 767]",1612803722948
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,initialized,0,,1612825391077
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,window_resize,0,"[1024, 660]",1612825391077
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,focus,117373,off,1612825508450
A3SA97VT1923NN:3TPWUS5F8EH8EGI7UUO38BB71KCWCZ,focus,33034,on,1612825541484
A3N40Z29QX64UJ:3P4MQ7TPP2SXG8SQL3WCADS49Y6BB3,initialized,0,,1612820480320
A3N40Z29QX64UJ:3P4MQ7TPP2SXG8SQL3WCADS49Y6BB3,window_resize,0,"[1561, 748]",1612820480320
A1DIOT6SG0NJU6:3LO69W1SU8T5KYMDS2DKPRF616VGLX,initialized,0,,1612829755517
A1DIOT6SG0NJU6:3LO69W1SU8T5KYMDS2DKPRF616VGLX,window_resize,0,"[1024, 767]",1612829755517
debugSCS93B:debug3TRQ8R,initialized,0,,1612802692971
debugSCS93B:debug3TRQ8R,window_resize,0,"[1024, 767]",1612802692971
A3M9BQ35J9DI4I:3X65QVEQI53S3M68QGH1Z0UR3DKCLY,initialized,0,,1612802866957
A3M9BQ35J9DI4I:3X65QVEQI53S3M68QGH1Z0UR3DKCLY,window_resize,0,"[1024, 658]",1612802866957
A3M9BQ35J9DI4I:3X65QVEQI53S3M68QGH1Z0UR3DKCLY,focus,2536,off,1612802869493
A3M9BQ35J9DI4I:3X65QVEQI53S3M68QGH1Z0UR3DKCLY,window_resize,2270,"[1024, 641]",1612802871763
A3M9BQ35J9DI4I:3X65QVEQI53S3M68QGH1Z0UR3DKCLY,focus,683,on,1612802872446
A3M9BQ35J9DI4I:3X65QVEQI53S3M68QGH1Z0UR3DKCLY,window_resize,13753,"[1024, 665]",1612802886199
A3M9BQ35J9DI4I:3X65QVEQI53S3M68QGH1Z0UR3DKCLY,window_resize,485,"[1024, 660]",1612802886684
A3M9BQ35J9DI4I:3X65QVEQI53S3M68QGH1Z0UR3DKCLY,focus,64164,off,1612802950848
A3M9BQ35J9DI4I:3X65QVEQI53S3M68QGH1Z0UR3DKCLY,focus,580556,on,1612803531404
A9QK84HBU3FX3:3NGI5ARFTYLY74B82BLOZLKK4Q4P1T,initialized,0,,1612809701344
A9QK84HBU3FX3:3NGI5ARFTYLY74B82BLOZLKK4Q4P1T,window_resize,0,"[1024, 660]",1612809701344
A9QK84HBU3FX3:3NGI5ARFTYLY74B82BLOZLKK4Q4P1T,window_resize,51404,"[1027, 660]",1612809752748
A3FQOXMW73Z3BB:3YGXWBAF75XW5EZNKOIKDJSGHRPC45,initialized,0,,1612802752427
A3FQOXMW73Z3BB:3YGXWBAF75XW5EZNKOIKDJSGHRPC45,window_resize,2,"[980, 1641]",1612802752429
A3HYKJ2457U3EN:3P4RDNWNDAMDLZ48F51AUOFUCTZJI5,initialized,0,,1612802737892
A3HYKJ2457U3EN:3P4RDNWNDAMDLZ48F51AUOFUCTZJI5,window_resize,0,"[1024, 671]",1612802737892
